"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000075043.16",116.911169990869,-5.205793418852,0.741800488293665,-7.01778106243457,2.25419393642719e-12,8.18723237710356e-08
"ENSG00000198028.3",24.770249014221,-5.45361442674198,0.797955361392926,-6.83448559982359,8.22998022295434e-12,1.49456440848851e-07
"ENSG00000198883.10",52.0475867035866,4.60650225472229,0.689186227745913,6.68397316903523,2.32549401252547e-11,2.81539808449751e-07
"ENSG00000202538.1",780.103153705036,5.94445719071381,0.911730275197339,6.51997345314343,7.03198358995647e-11,4.6289211839338e-07
"ENSG00000108244.15",680.823656682471,-4.27174701741526,0.655879964560978,-6.51300123228281,7.36639059079571e-11,4.6289211839338e-07
"ENSG00000102837.6",154.762234363951,-4.76043964895403,0.731543899337499,-6.50738753103563,7.64689622896553e-11,4.6289211839338e-07
"ENSG00000105278.9",49.8989472901802,3.47305577127487,0.570990113544979,6.08251472116125,1.18312029894147e-09,6.09038104810258e-06
"ENSG00000106113.17",63.0811899462551,2.70128756490065,0.445584448491835,6.06234704564682,1.34149362293008e-09,6.09038104810258e-06
"ENSG00000259828.1",149.596246590178,5.01340494625325,0.832206755668802,6.02423005112982,1.69916541221483e-09,6.85707641907139e-06
"ENSG00000140519.11",54.6325457335188,-3.28659970919196,0.549482438411965,-5.98126433064979,2.21412228733617e-09,8.04169214760496e-06
"ENSG00000128422.14",6310.84783490704,-3.44111247054564,0.579153756355648,-5.94162160356,2.82216266995413e-09,9.3182680157031e-06
"ENSG00000225091.3",26.8820772289954,3.0041249122526,0.52387328814067,5.73444949429438,9.78295700857155e-09,2.96097498792766e-05
"ENSG00000136531.12",104.350789282804,2.83581322222187,0.498406341496448,5.68976151809674,1.27216917252275e-08,3.39381797286762e-05
"ENSG00000185559.12",37.4496068232557,5.13390896831023,0.903063574063353,5.68499175003826,1.30818974725074e-08,3.39381797286762e-05
"ENSG00000278879.1",44.6684587576242,2.88654042732445,0.509173690598197,5.66906829756509,1.43576129507956e-08,3.47645668248597e-05
"ENSG00000260034.1",61.0720662614996,3.52022814964992,0.626260843416183,5.62102546671681,1.89827284745014e-08,4.30907936371181e-05
"ENSG00000279149.1",15.0220755484761,2.39716550931502,0.427733886029359,5.60433855631087,2.09051738158865e-08,4.46632889995882e-05
"ENSG00000198758.9",48.1901087935667,-3.88462390705339,0.6991740087048,-5.55601875740425,2.75997225833704e-08,5.30953304395686e-05
"ENSG00000267056.2",52.9004085127543,-4.02179319700984,0.724007034234405,-5.5549090089472,2.77756409237831e-08,5.30953304395686e-05
"ENSG00000206838.1",12.6591243249793,2.84645295880485,0.517168640679044,5.50391639188998,3.71445754887133e-08,6.74545490875034e-05
"ENSG00000133636.9",162.717152651386,-3.83055146818234,0.697900024787226,-5.48868223546802,4.04943351706042e-08,7.00359168283973e-05
"ENSG00000243550.2",17.7793931354135,4.97534099607381,0.916069818795639,5.43118100170019,5.59823164732404e-08,9.24217151958224e-05
"ENSG00000251348.1",49.4794752936008,3.58688418008551,0.675219924812823,5.3121717062479,1.08326460328486e-07,0.000171061610396982
"ENSG00000237892.1",26.0095795003642,2.62309043898801,0.496346355919699,5.28479842292302,1.25843249185551e-07,0.000190442783767467
"ENSG00000205426.9",267.308758522492,-3.10762287251668,0.592833892352071,-5.24197909837303,1.5886336946787e-07,0.000230796703162921
"ENSG00000138083.4",38.2899962223976,-3.72942250386463,0.712681308883171,-5.23294557802973,1.66829870211475e-07,0.000233048495618491
"ENSG00000174501.13",1001.62630522251,2.94741138390195,0.566824536220416,5.19986555902339,1.99432725302086e-07,0.000268273947517473
"ENSG00000260293.2",49.8418598993965,1.68634134195026,0.324969835416014,5.18922422381594,2.11171993146759e-07,0.000272649510414833
"ENSG00000069812.10",225.445363478991,-2.19783695326725,0.424002084792984,-5.18355223262718,2.17699223624178e-07,0.000272649510414833
"ENSG00000110680.11",2269.87998958441,4.80784696941319,0.929485828450134,5.17258770629134,2.30874069281504e-07,0.000279511539876807
"ENSG00000178372.7",44.979636921412,-4.6257719923205,0.905265913818956,-5.10984885403031,3.22416642504128e-07,0.000377747498572579
"ENSG00000156414.17",131.748516280858,-2.36128264342963,0.462837029950366,-5.10175826615007,3.36512401572132e-07,0.000381941575784369
"ENSG00000254094.1",6.2009029301298,3.28194258688593,0.645328630859012,5.08569189393823,3.66288270568912e-07,0.000403139090517057
